Value,Label,Description
[Btu_m],mean British thermal unit,Representing the amount of energy required to raise the temperature of 1pound of water by one degree Farenheit when the intial and final temperatures vary
[Btu_IT],international table British thermal unit,Unit of energy measurement that represents the amount of energy require to raise the temperature of 1 pound of water
[dpt_us],US dry pint,Unit of volume measurement used in the United States to quantify the volume of dry goods
[bbl_us],US barrel,Unit of volume measurment used in the United States for measuring the capacity of liquid or dy substances
[qt_us],US quart,Unit of volume measurement used in the United States to quantify volume of both liquid and dry substances
[pt_us],US pint,Unit of volume measurement in the United States
[gil_us],US gill,Unit of volume measurement that was traditionally used in the United States 
[foz_us],US fluid ounce,Unit of volume measurement in the United States
[fdr_us],US fluid dram,Unit of volume measurement in the United States
[min_us],US minim,Unit of volume measurement typically used in pharmacy and medicine
[crd_us],US cord,Unit of volume used to quantify a stack of wood logs
[gal_wi],US historical winchester gallon,"A historical unit of volume measurement use for grain, and produce"
[pk_us],US peck,"A historical unit of volume measurement use for grain, and produce"
[dqt_us],US dry quart,Unit of volume measurement in the United States
[tbs_us],US tablespoon,Unit of volume measurement in the United States
[tsp_us],US teaspoon,Unit of volume measurement in the United States
[cup_us],US cup,Unit of volume measurement in the United States
[foz_m],metric fluid ounce,Unit of volume measurement used in some countries
[cup_m],metric cup,Unit of volume measurement used in some countries
[tsp_m],metric teaspoon,Unit of volume measurement used in some countries
[tbs_us],metric tablespoon,Unit of volume measurement used in some countries
[gal_us],US Queen Anne's wine gallon,A historical unit of volume measurement 
[gal_br],British gallon,Unit of volume measurement in the United Kingdom
[pk_br],British peck,Unit of volume measurement in the United Kingdom
[bu_br],British bushel,Unit of volume measurement in the United Kingdom
[qt_br],British quart,Unit of volume measurement in the United Kingdom
[pt_br],British pint,Unit of volume measurement in the United Kingdom
[gil_br],British gill,Unit of volume measurement in the United Kingdom
[foz_br],British fluid ounce,Unit of volume measurement in the United Kingdom
[fdr_br],British fluid dram,Unit of volume measurement in the United Kingdom
[min_br],British minim,Unit of volume measurement in the United Kingdom
[gr],grain,Unit of mass 
[lb_av],pound,Unit of mass 
[oz_av],ounce,Unit of mass 
[dr_av],dram,Unit of mass traditionally used in field of pharmacology or medicine
[scwt_av],US hundredweight,Unit of mass used in the Untited States
[lcwt_av],British hunderweight,Unit of mass used in the United Kingdom
[ston_av],US ton,Unit of mass used in the United States
[lton_av],British ton,Unit of mass used in the United Kingdom
[stone_av],British stone,Unit of mass used in the United Kingdom
hm,hectometer,Unit of length
hL,hectolitre,Unit of volume
[fur_us],furlong,Unit of length
[rd_us],rod,Unit of length
[lk_us],link,Unit of length
[gil_us],gill,Unit of volume
[gr],grain,Unit mass
[pk_us],Peck,Unit of volume
[bbl_us],barrel,Unit of volume
[crd_us],cord,Unit of volume
[fdr_us],fluid dram,Unit of volume
[min_us],minim,Unit of volume
kg,kilogram,SI unit for mass
g,gram,Unit of mass
mg,milligram,Unit of mass
ug,microgram,Unit of mass
ng,nanogram,Unit of mass
pg,picogram,Unit of mass
mg/kg,milligram per kilogram,Unit of concentration or dosage commonly used in the field of medicine and toxicology to express the quantity of substance in a particular context
ug/kg,microgram per kilogram,"Unit of concentration or dosage. It represents the number of micrograms (one millionth of a gram) of a substance present within every kilogram (one thousand grams) of a given material, such as body weight or a sample"
mg/m2,milligram per square metre,Unit of surface or areal density that measures the mass of a substance distributed over one square meter
ug/m2,microgram per square metre,Unit of surface or areal density that measures the mass of a substance distributed over one square meter
L,litre,SI unit for volume
mL,millilitre,Unit of volume
uL,microlitre,Unit of volume
Bq,Becquerel,SI unit of radioactivity
GBq,gigabecquerel,Becquerel on the order of 10^9
MBq,megabecquerel,Becquerel on the order of 10^6
kBq,killobecquerel,Becquerel on the order of 10^3
Ci,curie,Unit of radioactivity non SI 
mCi,millicurie,Curie on the order of 10^(-3)
uCi,microcurie,Curie on the order of 10^(-6)
nCi,nanocurie,Curie on the order of 10^(-9)
mol,mole,SI unit used to quantify the amount of a substance
mmol,millimole,Mole on the order of 10^(-3)
umol,micromole,Mole on the order of 10^(-6)
[iU],international unit,Unit to quantify the biological activity or potency of substances
k[iU],kilo-international unit,International unit on the order of 10^(3)
M[iU],mega-international unit,International unit on the order of 10^(6)
[iU]/kg,international unit per kilogram,Unit of concentration or dosage 
meq,milliequivalent,Unit of measurement used to express the chemical equivalent of ions or molecules in solution
%,% percent,Fractional representation normalized by 100
[drp],drop (1/12 millilitre),Unit of volume
{DF},dosage form,Specification of physical form of medication or pharmaceutical product
[dye'U],Dye unit,
%{Hb},percent hemoglobin,Measurement of specific hemoglobin as a percentage of the total hemoglobin in a blood sample
%{RBCs},percent of red blood cells,Proportion of red blood cells in a blood sample
%{WBCs},percent of white blood cells,Proportion of white blood cells in a blood sample 
%{abnormal},percent abnormal,Generally implies the percentage of something that is considered unexpected
%{activity},percent activity,"Generally implies the percentage of physical, enzymatic, or radioactive activity"
%{aggregation},percent aggregation,Generally quantifies the extent of collective assembly 
%{at_60_min},percent at 60 minute,Measurement expressed as a percentage after a specific duration of 60 minutes 
%{bacteria},percent of bacteria,Proportion of bacteria in a sample
%{basal_activity},percent basal activity,Level of activity of a biological or chemical process in relation to its resting state
%{baseline},percent of baseline,Value relative to initial starting point
%{binding},percent binding,Describes the extent to which molecules bind to specific receptors
%{blockade},percent blockade,Describes the degree to which a pathway is inhibitited or blocked by an intervention
%{blocked},percent blocked,Referes to the percentage of something that has been obstructed
%{bound},percent bound,Describes the proportion of molecules that have successfully bound to specifc target molecules
%{breakdown},percent breakdown,Distribution of something into different categories
%{cells},percent of cells,Describes the proportion of a type of cell wihtin a larger sample of cells
%{deficient},percent deficient,Refers to the proportion of individuals that are lacking a particular quality
%{dose},percent dose,Expresses the fraction of percentage of a prescribed dosage of treatment that has been administered
%{excretion},percent excretion,Expresses the fraction of percentage of a substance that has been expelled from the body 
%{hemolysis},percent hemolysis,Used to assess the degree of red blood cell lysis in a sample
%{index},percent index,Broad term that describes percentage related to an index 
%{inhibition},percent inhibition,Quantifies the extent to which a substance suppresses biological activity
%{loss_AChR},percent  loss of acetylcholine receptor,Referes to the precentage reduction in the number of acetylcholine receptors in a biological system compared to baseline
%{loss},percent loss,Quantifies the reduction in a parameter expressed as a percentage of the initial amount
%{lysis},percent lysis,Quantifies the degree to which cells have ruptured
%{normal},percent normal,Proportion of entities that meet a certain criteria
%{penetration},percent  penetration,Extent to which a substance has permeated a barrier
%{pooled_plasma},percent normal pooled plasma,Proportion of a specific factor in a pooled sample of plasma compared to the concentration of the same factor in a normal plasma sample
%{positive},percent positive,Proportion of positive outcomes wihtin a given data set
%{reactive},percent reactive,Measurement used to describe the percentage of specific group that responds in a particular way to stimulus
%{recovery},percent recovery,Percentage of a substance that has been successfully regained relative to initial value
%{reference},percent reference,Refers to the percentage of value relative to a baseline value
%{relative},relative percent,Refers to the percentage of value relative to a baseline value
%{residual},percent residual,Percentage of something that remains 
%{saturation},percent saturation,Expresses the extrent to which a substance or solution is filled with another substance
%{total},percent total,Expresses the proportion of a specific component relative to the whole dataset
%{uptake},percent uptake,Percentage of absorbed substance taken up by a specific system in relation to the total available amount
%{viable},percent viable,Percentage of living viable entities within a larger group
%{vol},percent by volume,Concentration of one substance in a mixture relative to the total volume of the mixture
/(12.h),per twelve hour,Indicates an action occuring every twelve hours
/10*10,per 10 billion,Rate relative to 10 billion units
/10*12,per trillion,Rate relative to 1 trillion units
/10*12{RBCs},per trillion red blood cells,Rate relavtive to 1 trillion red blood cells
/10*3,per thousand,Rate relative to 1 thousand untis
/10*3{RBCs},per thousand red blood cells,Rate relative to 1 thousand blood cells
/10*4{RBCs},per 10 thousand red blood cells,Rate relative to 10 thousand red blood cells
/10*6,per million,Rate relative to 1 million units
/10*9,per billion,Rate relative to 1 billion units
/100,per 100,Rate relative to 100 units
/100{WBCs},per 100 white blood cells,Rate relative to 100 white blood cells
/100{cells},per 100 cells,Rate relative to 100 cells
/100{neutrophils},per 100 neutrophils,Rate relative to 100 neutrophils
/100{spermatozoa},per 100 spermatozoa,Rate relative to 100 spermatozoa
/L,per litre,Rate relative to the SI unit for volume
/U,per enzyme unit,Rate relative to 1 enzyme+D151 unit
/[HPF],per high power field,Rate relative to high
/[LPF],per low power field,"Rate relative to a high power field, often used in microscopy"
/[arb'U],per arbitrary unit,Rate relative to some unit
/[iU],per international unit,Rate relative to 1 international unit
/a,per year,Rate of time relative to one year
/cm[H2O],per centimetre of water,Rate relative to one centimeter of water
/d,per day,Rate of time relative to one day
/dL,per decilitre,Rate relative to 1 decilitre 
/g,per gram,Rate relative to 1 gram
/g{Hb},per gram of hemoglobin,Rate relative to 1 gram of hemoglobin
/g{creat},per gram of creatinine,Rate relative to 1 gram of creatinine
/g{tot_nit},per gram of total nitrogen,Rate relative to 1 gram of total nitrogen
/g{tot_prot},per gram of total protein,Rate relative to 1 gram of total protein
/g{wet_tis},per gram of wet tissue,Rate relative to 1 gram of wet tissue
/h,per hour,Rate of time relative to 1 hour
/kg,per kilogram,Rate relative to SI unit for mass
/kg{body_wt},per kilogram of body weight,Rate relative to the mass of one's body 
/m2,per square metre,Rate relative to the area of 1 square metre
/m3,per cubic metre,Rate relative to the volume of 1 cubic metre
/mL,per millilitre,Rate relative to the volume of 1 millilitre
/mg,per milligram,Rate relative to 1 milligram
/min,per minute,Rate of time relative to 1 minute
/mm,per millimetre,Rate relative to 1 millimetre
/mmol{creat},per millimole of creatinine,Rate relative to 1 millimole of creatinine
/mo,per month,Rate of time relative to one month
/s,per second,Rate of time relative to 1 second
/uL,per microlitre,Rate relative to 1 microlitre
/wk,per week,Rate of time relative to 1 week
/{OIF},per oil immersion field,Frequency of specific microscopic entities within the field of view of a microscope
/{entity},per entity,Rate in relation to specific units
10*12/L,trillion per litre,Expresses a rate of 1 trillion units in relation to a volume of one litre
10*3,thousand,Numeric value
10*3/L,thousand per litre,Rate of 1 thousand units relative to 1 litre
10*3/mL,thousand per millilitre,Concentration of 1 thousand units in relation to volume of 1 millilitre
10*3/uL,thousand per microlitre,Concentration of 1 thousand units in relation to volume of 1 microlitre
10*3{RBCs},thousand red blood cells,Count of red blood cells
10*3{copies}/mL,thousand copies per millilitre,Rate of 1 thousand copies relative to the volume of 1 milliltre
10*4/uL,10 thousand per microlitre,Rate of 10 thousand units relative to the volume of  1 microlitre
10*5,one hundred thousand,Numeric value
10*6,million,Numeric value
10*6.[CFU]/L,million colony forming unit per litre,Concentration of viable microorganisms in a liquid sample relative to one litre
10*6.[iU],million international unit,International unit on the order of 1 million
10*6/(24.h),million per 24 hour,1 million units relative to 24 hours
10*6/L,million per litre,1 million units relative to 1 litre
10*6/kg,million per kilogram,1 million units relative to 1 kilogram
10*6/mL,million per millilitre,1 million units relative to 1 millitre
10*6/uL,million per microlitre,1 million units per 1 microlitre
10*8,100 million,Numeric value
10*9/L,billion per litre,1 billion units relative to 1 litre
10*9/mL,billion per millilitre,1 billion units relative to 1 microlitre
10*9/uL,billion per microlitre,1 billion units relative to 1 microlitre
10.L/(min.m2),10 litre per minute per square metre,10 litres relative to 1 minute relative to the are of 1 square metre
10.L/min,10 litre per minute,Rate of 10 litres per 1 minute
10.uN.s/(cm5.m2),10 micronewton second per centimetre to the fifth power per square metre,Dynamic viscosity 
24.h,24 hour,1 day
[CCID_50],50% cell culture infectious dose,Quantifies the infectivity of a virus
A,ampere,Rate at which electric charge moves through a conductor
[EID_50],50% embryo infectious dose,Quantifies the infectous does of a virus in embryos
A/m,ampere per metre,Describes the magnetic field strength
[TCID_50],50% tissue culture infectious dose,Quantifies the infectious does of a virus in a tissue culture
[anti'Xa'U],anti factor Xa unit,Quantifies the activity of anticoagulant drugs
Cel,degree Celsius,Measurement of temperature
F,Farad,Unit of electrical capacitance
Gy,Gray,SI unit of absorbed dose of ionizing radition
H,Henry,SI unit of inductance 
Hz,Hertz,SI unit of frequency
J,joule,SI unit of energy
J/L,joule per litre,Expresses the energy density of a substance 
K,degree Kelvin,Measurement of temperature
K/W,degree Kelvin per Watt,Quantifies how a material resists the flow of heat per unit of power
L/(24.h),litre per 24 hour,Rate of volume over a 24 hour period
L/(8.h),litre per 8 hour,Rate of volume over an 8 hour period
L/(min.m2),litre per minute per square metre,Flow rate per unit area
L/L,litre per litre,Ratio of 2 volumes 
L/d,litre per day,Volume rate over 1 day
L/h,litre per hour,Volume rate over 1 hour
L/kg,litre per kilogram,Ratio of volume to mass
L/min,litre per minute,Volume rate over 1 minute
L/s,litre per second,Volume rate over 1 second
L/s/s2,litre per second per square second,Rate of fluid flow acceleration
Ms,megasecond,Second on the order of 10^6
N,Newton,SI unit of force
N.cm,Newton centimetre,Expresses torque
N.s,Newton second,SI unit of impulse
Ohm,Ohm,SI unit of electrical resistance
Ohm.m,Ohm metre,SI unit of electrical resistivity
Pa,Pascal,SI unit of pressure
S,Siemens,SI units of electrical conductance
Sv,Sievert,SI unit of dose equivalent
T,Tesla,SI unit of magnetif flux density 
Torr,Torr,Unit of pressure
U,enzyme unit,Concentration of an enzyme in a reaction
U/(10.g){feces},enzyme unit per 10 gram of faeces,Concentration of an enzyme in a fecal sample
U/(12.h),enzyme unit per 12 hour,Rate of concentration of an enzyme in a reaction every 12 hours
U/(2.h),enzyme unit per 2 hour,Rate of concentration of an enzyme in a reaction every 2 hours
U/(24.h),enzyme unit per 24 hour,Rate of concentration of an enzyme in a reaction every 24 hours
U/10,enzyme unit per 10,Enzyme concentration
U/10*10,enzyme unit per 10 billion,Enzyme concentration
U/10*10{cells},enzyme unit per 10 billion cells,Enzyme concentration relative to 10 billion cells
U/10*12,enzyme unit per trillion,Enzyme concentration
U/10*12{RBCs},enzyme unit per trillion red blood cells,Enzyme concentration
U/10*6,enzyme unit per million,Enzyme concentration
U/10*9,enzyme unit per billion,Enzyme concentration
U/L,enzyme unit per litre,Enzyme concentration relative to 1 litre
U/d,enzyme unit per day,Enzyme activity over a 24 hour period
U/dL,enzyme unit per decilitre,Enzyme concentration
U/g,enzyme unit per gram,Enzyme concentration
U/g{Hb},enzyme unit per gram of hemoglobin,Enzyme concentration relative to 1 gram of hemoglobin
U/g{creat},enzyme unit per gram of creatinine,Enzyme concentration relative to 1 gram of creatinine
U/g{protein},enzyme unit per gram of protein,Enzyme concentratoin relative to 1 gram of protein
U/h,enzyme unit per hour,Enzyme concentration 
U/kg{Hb},enzyme unit per kilogram of hemoglobin,Enzyme concentration relative to 1 kilogram of hemoglobin
U/mL,enzyme unit per millilitre,Enzyme concentration
U/mL{RBCs},enzyme unit per millilitre of red blood cells,Enzyme concentration relative to 1 millilitre of red blood cells
U/min,enzyme unit per minute,Enzyme concentration per minute
U/mmol{creat},enzyme unit per millimole of creatinine,Enzyme concentration relative to one millimole of creatinine
U/s,enzyme unit per second,Enzyme activity over a one second period
U{25Cel}/L,enzyme unit per litre at 25 deg Celsius,Enzyme concentration
U{37Cel}/L,enzyme unit per litre at 37 deg Celsius,Enzyme concentration
V,volt,"SI unit of electrical potential difference, EMF, and voltage"
Wb,Weber,SI unit of magnetic flux
[APL'U],IgA anticardiolipin unit,Measurement of IgA antibodies
[APL'U]/mL,IgA anticardiolipin unit per millilitre,Measurement of IgA antibodies relative to millilitre
[AU],allergy unit,Related to allergy testing
[CFU],colony forming unit,Quantifies the number of viable cells capable of forming under specific conditions
[CFU]/L,colony forming unit per litre,Quantifies the concentration of viable microorganisms in a liquid sample
[CFU]/mL,colony forming unit per millilitre,Quantifies the concentration of viable microorganisms in a liquid sample
[Ch],French (catheter gauge),Size or diameter of medical devices
[GPL'U],IgG anticardiolipin unit,Measurement of IgG class antibodies against cardiolipin
[GPL'U]/mL,IgG anticardiolipin unit per millilitre,Concentration of IgG class antibodies per millilitre
[HPF],high power field,Area or field of view observed under a microscope
[hp_C],homeopathic potency of centesimal hahnemannian series,Common scale used to indicate the potency or dilution of homeopathic remedies
[LPF],low power field,Area or field of view observed under a microscope at a lower magnifaction 
[kp_C],homeopathic potency of centesimal korsakovian series,Potency or dilution of homeopathic remedies
[MPL'U],IgM anticardiolipin unit,Refers to the measurement of IgM class antibodies
[hp_X],homeopathic potency of decimal hahnemannian series,Potency or dilution of homeopathic remedies
[MPL'U]/mL,IgM anticardiolipin unit per millilitre,Concentration of IgM antibodies against cardiolipin 
[arb'U],arbitrary unit,Used in various scientific fields to express a quantity or measurement that is not expressed in a specific unit of measurement
[kp_X],homeopathic potency of decimal korsakovian series,Potency or dilution of homeopathic remedies
[arb'U]/mL,arbitrary unit per millilitre,Concentration of a substance in a liquid sample using arbitrary units 
[hp_M],homeopathic potency of millesimal hahnemannian series,Potency or dilution of homeopathic remedies
[bdsk'U],Bodansky unit,Describes the activity of enzyme serum glutamic oxaloacetic transaminase
[kp_M],homeopathic potency of millesimal korsakovian series,Potency or dilution of homeopathic remedies
[beth'U],Bethesda unit,Concentration of anti-coagulation antibodies
[hp_Q],homeopathic potency of quintamillesimal hahnemannian series,Potency or dilution of homeopathic remedies
[cin_i],cubic inch (international),Unit of volume
[kp_Q],homeopathic potency of quintamillesimal korsakovian series,Potency or dilution of homeopathic remedies
[degF],degree Fahrenheit,Measurement of temperature
[dr_av],dram  (US and British),Measurement of volume
[foz_us],fluid ounce (US),Measurement of volume
[ft_i],foot (international),unit of length 
[gal_us],gallon (US),Measurement of volume
[iU]/(2.h),international unit per 2 hour,International unit rate of change over a 2 hour period
[iU]/(24.h),international unit per 24 hour,International unit rate of change over a 24 hour period
[iU]/10*9{RBCs},international unit per billion red blood cells,Concentration of certain substance in the blood
[iU]/L,international unit per litre,Concentration of various substance in a liquid
[iU]/L{37Cel},international unit per litre at 37 degrees Celsius,Concentration of various substance in a liquid
[iU]/d,international unit per day,Concentration of various substances in a liquid
[iU]/dL,international unit per decilitre,Concentration of various substances in a liquid
[iU]/g,international unit per gram,Concentration of various substances in a liquid
[iU]/g{Hb},international unit per gram of hemoglobin,Concentration of a factor in the blood relative to the amount of hemoglobin
[iU]/h,international unit per hour,Rate of change of a substance within a specified period of one hour
[iU]/kg/d,international unit per kilogram per day,Rate of a substance adminstered to an individual relative to body weight and duration 
[iU]/mL,international unit per millilitre,Concentration of various substances in a liquid
[iU]/mg{creat},international unit per milligram of creatinine,Concentration of various substances in urine
[iU]/min,international unit per minute,Activity of substance over a period of 1 minute
[in_i'H2O],inch (international) of water,Depth of water
[in_i],inch (international),Unit of length 
[IR],index of reactivity,Scale on which chemicals are ranked on reactivity
[ka'U],King Armstrong unit,Amount of phosphate that releases 1 mg phenal from substrat at 37 degrees Celsius in 15 minutes
[knk'U],Kunkel unit,Level of antibody production or activity
[Lf],Limit of flocculation,Point at which colloidal particles begin to aggregate 
[lb_av],pound (US and British),Measure of mass
[mi_i],mile (international),Measure of distance
[oz_av],ounce (US and British),Measure of mass
[oz_tr],Troy ounce,Measure of mass
[pH],pH,Scale on which acids and bases are classified
[ppb],part per billion,Concentration of substance relative to 1 billion parts of a whole
[ppm],part per million,Concentration of substance relative to 1 million parts of a whole
[ppm]{v/v},part per million in volume per volume,Concentration of one substance in relation to one million parts of a whole relative to volume
[ppth],part per thousand,Concentration of substance relative to 1 thousand parts of a whole
[pptr],part per trillion,Concentration of substance relative to 1 trillion parts of a whole
[psi],pound per square inch,Unit of pressure
[pt_us],pint (US),Unit of volume
[PNU],protein nitrogen unit,Protein content of milk
[PFU],plaque forming units,Quantify the number of infectious viral particles present in a sample
[qt_us],quart (US),Unit of volume
[sft_i],square foot (international),Unit of area
[sin_i],square inch (international),Unit of area
[syd_i],square yard (international),Unit of area
[tb'U],tuberculin unit,Potency of tuberculin 
[tbs_us],tablespoon (US),Unit of volume
[USP'U],United States Pharmacopeia unit,Potency of various pharmaceutical substances 
[todd'U],Todd unit,One USP unit of vitamin D2 is equivalent to one International Unit (IU
[tsp_us],teaspoon (US),Unit of volume
[yd_i],yard (international),Unit of length
a,year,Unit of time
ag/{cells},attogram per cell,Amount of substance within a single cell
atm,atmosphere,Unit of pressure
bar,bar,Unit of pressure
cL,centilitre,Unit of volume
cP,centipoise,Unit of dynamic viscosity
cSt,centistoke,Unit of kinetmatic viscosity
cal,calorie,Unit of energy
cg,centigram,Metric unit of mass equivalent to 1/100 of a gram
cm,centimetre,Metric unit of length equivalent to 1/100 of a metre
cm2,square centimetre,Unit of area
cm2/s,square centimetre per second,Unit of kinetmatic viscosity
cm[H2O],centimetre of water,Unit of pressure
cm[H2O]/L/s,centimetre of water per litre per second,Used to measure the flow rate of a liquid
cm[H2O]/s/m,centimetre of water per second per metre,Measure of flow resistance in a fluid over a distance
cm[Hg],centimetre of mercury,Unit of pressure
d,day,Unit of time
dB,decibel,Expresses the intensity of power of waveforms
dL,decilitre,Metric unit of volume equivalent to 1/10 of a litre
daL/min,dekalitre per minute,Unit of flow rate used to measure the volume of a liquid
daL/min/m2,dekalitre per minute per square metre,Unit of flow rate per unit area of a liquid
deg,degree (plane angle),Unit of plane angle measurement
deg/s,degree per second,Measurement of angular velocity
dg,decigram,Metric unit of mass equivalent to 1/10 of a gram
dm,decimetre,Metric unit of mass equivalent to 1/10 of a litre
dm2/s2,square decimetre per square second,Unit of acceleration
dyn.s/(cm.m2),dyne second per centimetre per square metre,"Unit of dynamic viscosity, a fluid's resistance to applied forces"
dyn.s/cm,dyne second per centimetre,"Unit of dynamic viscosity, a fluid's resistance to applied forces"
eV,electron Volt,Unit of energy used in atomic physics
eq,equivalent,Amount of substance that can react or combine with another substance
eq/L,equivalent per litre,Amount of equivalents of a chemical species in solution per liter of that solution
eq/mL,equivalent per millilitre,Amount of equivalents of a chemical species in solution per millilitre of that solution
eq/mmol,equivalent per millimole,Amount of equivalents of a chemical species in solution per mllimole of that solution
eq/umol,equivalent per micromole,Amount of equivalents of a chemical species in solution per mlcromole of that solution
erg,erg,Unit of energy
fL,femtolitre,Unit of volume
fg,femtogram,Unit of mass
fm,femtometre,Unit of length
fmol,femtomole,Unit to quantify very small amount of substance
fmol/L,femtomole per litre,Unit of concentration
fmol/g,femtomole per gram,Unit of concentration
fmol/mL,femtomole per millilitre,Unit of concentration
fmol/mg,femtomole per milligram,Unit of concentration
[FEU],fibrinogen equivalent unit,Quantify the concentration of fibrinogen in blood
fmol/mg{cyt_prot},femtomole per milligram of cytosol protein,Unit of concentration used to expresss the amount of particular substance in a sample of cytosol protein
fmol/mg{prot},femtomole per milligram of protein,Unit of concentration used to express the amount of specific substance in a sample of protein
g.m,gram metre,Unit torque
g.m/{beat},gram metre per heart beat,Unit of torque per heart beat
g/(100.g),gram per 100 gram,Percentage of one substance within another substance on a mass basis
g/(12.h),gram per 12 hour,Measure of mass per 12 hours
g/(24.h),gram per 24 hour,Measure of mass per 24 hours
g/(3.d),gram per 3 days,Measure of mass per 23 days
g/(4.h),gram per 4 hour,Measure of mass per4 hours
g/(48.h),gram per 48 hour,Measure of mass per 48 hours
g/(5.h),gram per 5 hour,Measure of mass per 5 hours
g/(6.h),gram per 6 hour,Measure of mass per 6 hours
g/(72.h),gram per 72 hour,Measure of mass per 72 hours
g/(8.h){shift},gram per 8 hour shift,Measure of mass per 8 hour work shift
g/L,gram per litre,Rate of mass per volume
g/cm3,gram per cubic centimetre,Rate of mass per volume
g/d,gram per day,Rate of mass per day
g/dL,gram per decilitre,Rate of mass per
g/g,gram per gram,Rate of mass per volume
g/g{creat},gram per gram of creatinine,Unit of measurement used in clinical analyses and expresses the concentration of substances in urine relative to the concentration of creatine in the same urine sample
g/g{globulin},gram per gram of globulin,Unit of concentration of a specific substance in a sample relative to the concentration of globulin in the same sample
g/g{tissue},gram per gram of tissue,Concentration of a substance in a sample relative to the concentration of tissue in the same sample
g/h,gram per hour,Measure of mass per hour
g/h/m2,gram per hour per square metre,Rate of mass transfer per unit area over a specific time interval
g/kg,gram per kilogram,Unit of measurement that expresses the concentration of a substance in a mixture
g/kg/(8.h),gram per  kilogram per 8 hour,Rate of mass transfer over a specific time period mass relative to kilograms
g/kg/(8.h){shift},gram per kilogram per 8 hour shift,Rate of mass transfer over a specific time period mass relative to kilograms
g/kg/d,gram per kilogram per day,Rate of mass transfer over a specific time period mass relative to kilograms
g/kg/h,gram per kilogram per hour,Rate of mass transfer over a specific time period mass relative to kilograms
g/kg/min,gram per kilogram per minute,Rate of mass transfer over a specific time period mass relative to kilograms
g/m2,gram per square metre,Mass per unit area
g/mL,gram per millilitre,Unit of density
g/mg,gram per milligram,Ratio of grams to milligrams
g/min,gram per minute,Rate of mass relative to time
g/mmol,gram per millimole,Molar mass
g/mol{creat},gram per mole of creatinine,Mass relative to amount of creatinine
g/{specimen},gram per specimen,Measure of mass
g/{total_output},gram per total output,Measure of mass relative to the final results
g/{total_weight},gram per total weight,Meaure of mass relative to the total sample mass
g{Hb},gram of hemoglobin,Mass of hemoglobin
g%,gram percent,Ratio of grams 
g{creat},gram of creatinine,Mass of creatinine
g{total_nit},gram of total nitrogen,Quantifies the amount of nitrogen contained within a sample
g{total_prot},gram of total protein,Quantifies the amount of protein contained within a sample
g{wet_tissue},gram of wet tissue,Quantifies the amount of wet tissue wihin a sample
h,hour,Unit of time
kL,kilolitre,Unit of volume
kPa,kilopascal,Unit of pressure
kU,kilo enzyme unit,Concentration of an enzyme in solution
kU/L,kilo enzyme unit per litre,Concentration of an enzyme in solution relative to one litre
kU/L{class},kilo enzyme unit per litre class,Concentration of enzymes present in one litre of solution
kU/g,kilo enzyme unit per gram,Concentration of enzymes present in one gram of substance
kU/mL,kilo enzyme unit per millilitre,Concentration of enzymes present in one millitre of solution
k[iU]/L,kilo international unit per litre,Unit of concentration
k[iU]/mL,kilo international unit per millilitre,Unit of concentration
kat,katal,Unit of measurement for catalytic activity
kat/L,katal per litre,Catalytic activity per litre
kat/kg,katal per kilogram,Catalytic activity per kilogram
kcal,kilocalorie,Unit of energy
kcal/[oz_av],kilocalorie per ounce (US and British),Unit of energy per unit mass
